City,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
87,marsh harbour,0,BS,1569281429,79,26.54,-77.06,299.0,8.16
88,lata,1,IN,1569281429,75,30.78,78.62,274.6,0.31
89,phirangipuram,100,IN,1569281430,95,16.29,80.26,297.5,1.67
90,esperance,100,AU,1569281430,81,-33.86,121.89,283.15,8.7
91,nisia floresta,40,BR,1569281430,88,-6.09,-35.21,298.15,5.1
92,nikolskoye,75,RU,1569281398,56,59.7,30.79,278.15,3.0
93,airai,6,TL,1569281398,54,-8.93,125.41,301.9,0.35
94,lorengau,97,PG,1569281431,69,-2.02,147.27,302.2,2.41
95,porto novo,75,BR,1569281431,63,-23.68,-45.44,289.15,3.6
96,port alfred,38,ZA,1569281431,82,-33.59,26.89,287.04,1.79
97,ozernovskiy,100,RU,1569281432,71,51.5,156.52,284.0,4.73
98,thompson,75,CA,1569281432,43,55.74,-97.86,296.15,5.1
99,harindanga,75,IN,1569281432,94,22.04,88.32,299.15,4.8
100,butaritari,0,KI,1569281385,68,3.07,172.79,302.7,5.05
101,wadi musa,0,JO,1569281433,86,30.32,35.48,290.6,2.31
102,spring hill,1,US,1569281433,48,28.46,-82.54,303.15,2.6
103,severo-kurilsk,100,RU,1569281433,85,50.68,156.12,283.2,8.34
104,ucluelet,90,CA,1569281172,93,48.94,-125.55,287.59,5.1
105,jumla,57,NP,1569281433,94,29.28,82.18,281.5,1.07
106,nguru,0,NG,1569281434,22,12.88,10.45,302.4,2.37
107,aleksandrov gay,0,RU,1569281434,72,50.14,48.57,276.9,4.42
108,tura,100,RU,1569281434,86,64.27,100.22,277.6,6.07
109,east london,17,ZA,1569281434,82,-33.02,27.91,283.0,2.26
110,hobart,75,AU,1569281434,50,-42.88,147.33,285.37,7.7
111,nemuro,78,JP,1569281435,85,43.32,145.57,289.1,5.37
112,atambua,1,ID,1569281435,78,-9.11,124.89,298.9,2.57
113,puerto ayora,20,EC,1569281383,69,-0.74,-90.35,296.15,6.7
114,san policarpo,78,PH,1569281435,79,12.18,125.51,300.1,0.61
115,khani,0,GE,1569281435,93,41.96,42.96,283.15,2.1
116,lae,75,PG,1569281436,74,-6.72,146.98,299.15,1.5
117,hirado,75,JP,1569281436,78,33.32,129.49,297.59,4.6
118,los llanos de aridane,90,ES,1569281436,78,28.66,-17.92,295.15,4.6
119,coihaique,75,CL,1569281436,71,-45.58,-72.07,284.15,1.5
120,mogadishu,6,SO,1569281183,82,2.04,45.34,297.4,5.49
121,bluff,91,AU,1569281437,20,-23.58,149.07,299.0,7.21
122,broken hill,6,AU,1569281437,50,-31.97,141.45,285.15,5.1
123,nianzishan,1,CN,1569281437,90,47.51,122.88,287.59,2.1
124,flinders,0,AU,1569281437,50,-34.58,150.85,291.48,3.6
125,kudat,75,MY,1569281437,78,6.89,116.84,301.15,2.6
126,fier,100,AL,1569281438,87,40.73,19.56,294.1,3.77
127,ulaangom,55,MN,1569281438,43,49.98,92.07,284.8,0.49
128,lompoc,40,US,1569281438,77,34.64,-120.46,299.82,4.6
129,naples,40,IT,1569281199,88,40.84,14.25,295.93,1.0
130,yinchuan,0,CN,1569281438,34,38.48,106.21,290.5,0.78
131,otautau,100,NZ,1569281439,93,-46.14,168.0,280.37,2.24
132,nome,40,US,1569281439,66,30.04,-94.42,304.15,4.1
133,bowen,75,AU,1569281439,69,-20.01,148.25,296.15,3.1
134,shenjiamen,4,CN,1569281439,76,29.96,122.3,295.3,4.54
135,qaanaaq,100,GL,1569281440,79,77.48,-69.36,270.8,2.77
136,vrangel,0,RU,1569281440,57,42.73,133.08,288.8,3.54
137,huarmey,100,PE,1569281173,94,-10.07,-78.15,289.5,5.35
138,saskylakh,100,RU,1569281440,74,71.97,114.09,274.3,8.21
139,norman wells,75,CA,1569281372,61,65.28,-126.83,283.15,2.1
140,katobu,63,ID,1569281440,65,-4.94,122.53,301.1,3.05
141,kafue,0,ZM,1569281441,31,-15.74,28.18,294.3,2.68
142,nago,90,IT,1569281441,100,45.88,10.89,289.15,1.5
143,kavieng,76,PG,1569281441,66,-2.57,150.8,301.6,1.94
144,saint-georges,99,CA,1569281442,95,46.12,-70.67,292.04,2.47
145,szentgotthard,100,HU,1569281442,93,46.95,16.27,288.15,2.6
146,oppdal,10,NO,1569281442,87,62.6,9.69,278.3,0.41
147,kapaa,90,US,1569281443,88,22.08,-159.32,301.15,5.7
148,fortuna,1,US,1569281413,68,40.6,-124.16,298.71,6.7
149,fairbanks,1,US,1569281422,40,64.84,-147.72,285.37,2.6
150,nalut,0,LY,1569281443,24,31.86,10.98,301.1,0.43
151,nanortalik,99,GL,1569281443,82,60.14,-45.24,278.4,1.13
152,richards bay,33,ZA,1569281444,67,-28.77,32.06,291.9,9.76
153,constitucion,40,MX,1569281444,26,23.99,-104.67,299.15,3.6
154,san patricio,0,PY,1569281444,69,-26.98,-56.83,291.0,3.02
155,avarua,100,CK,1569281444,73,-21.21,-159.78,295.15,2.6
156,maloy,77,ID,1569281445,71,1.0,118.1,300.7,1.22
157,new norfolk,75,AU,1569281401,50,-42.78,147.06,285.37,7.7
158,carballo,40,ES,1569281445,93,43.21,-8.69,293.15,6.7
159,pevek,100,RU,1569281445,78,69.7,170.27,274.5,5.53
160,polyarnyy,75,RU,1569281445,78,69.2,33.45,275.15,3.0
161,kamenka,96,MD,1569281446,70,48.03,28.7,282.59,1.34
162,coos bay,1,US,1569281301,60,43.37,-124.22,296.48,6.2
163,tokur,72,RU,1569281446,82,53.13,132.9,278.2,0.29
164,barra patuca,0,HN,1569281446,73,15.8,-84.28,302.6,4.95
165,adrar,0,DZ,1569281446,9,27.87,-0.29,307.15,2.6
166,okha,100,RU,1569281447,78,53.59,142.95,282.7,13.64
167,belaya gora,77,RU,1569281447,47,68.54,146.19,273.4,0.88
168,chifeng,0,CN,1569281447,32,42.27,118.96,288.4,2.11
169,potchefstroom,0,ZA,1569281447,82,-26.71,27.1,284.8,4.37
170,ajdabiya,0,LY,1569281448,71,30.75,20.22,296.6,5.03
171,cidreira,45,BR,1569281448,67,-30.17,-50.22,288.3,6.31
172,hermanus,0,ZA,1569281388,94,-34.42,19.24,287.59,4.04
173,cancun,75,MX,1569281253,100,21.17,-86.85,299.15,2.1
174,tasiilaq,100,GL,1569281448,87,65.61,-37.64,280.15,14.4
175,tezu,100,IN,1569281448,99,27.93,96.16,292.2,1.14
176,luderitz,0,NA,1569281449,12,-26.65,15.16,295.15,6.2
177,makat,8,KZ,1569281449,60,47.65,53.35,280.2,1.16
178,moundou,38,TD,1569281449,83,8.57,16.07,296.8,1.04
179,cherskiy,70,RU,1569281450,77,68.75,161.3,273.7,1.0
180,maragogi,80,BR,1569281450,94,-9.01,-35.22,294.3,1.67
181,sao filipe,83,CV,1569281450,82,14.9,-24.5,301.2,5.19
182,ribeira grande,96,PT,1569281451,67,38.52,-28.7,294.3,5.56
183,bilibino,17,RU,1569281451,66,68.06,166.44,269.2,1.3
184,shingu,75,JP,1569281451,78,33.72,135.99,295.15,1.5
185,kralendijk,20,BQ,1569281451,79,12.15,-68.27,302.15,1.5
186,talaya,0,RU,1569281452,87,55.79,84.89,280.37,6.0
187,chokurdakh,100,RU,1569281452,68,70.62,147.9,272.5,1.35
188,cape town,0,ZA,1569281226,72,-33.93,18.42,288.15,6.2
189,hambantota,100,LK,1569281412,84,6.12,81.12,299.9,10.63
